restaurant_link,country,region,longitude,latitude,restaurant_name,count_awards
g635642-d1963656,Italy,Veneto,10.674071,45.447945,Vecchio Mulino Beach Bar and Restaurant,9
g190764-d1930141,United Kingdom,Cheshire,-2.576444,53.38671,Spirit Restaurant,9
g187147-d817007,France,Ile-de-France,2.348446,48.84739,Les Pipos,9
g187791-d1034609,Italy,Lazio,12.467367,41.897797,Il Goccetto,9
g1041944-d2528654,United Kingdom,Isle of Wight,-1.088606,50.690117,Lockslane Contemporary Bistro - Under new ownership as of June 2020,9
g274707-d787784,Czech Republic,Bohemia,14.430039,50.082638,Restaurant Bredovsky Dvur,9
g187147-d784099,France,Ile-de-France,2.293767,48.867985,Cristal Room Baccarat,9
g187772-d2036482,Italy,Basilicata,16.609865,40.663002,Latteria Emanuele Rizzi,9
g642178-d2279193,Italy,Puglia,17.578663,40.73144,Monna Lisa Caffe,9
g194713-d1949051,Italy,Campania,14.33124,41.0689,Locanda Battisti,9
g1199297-d1774487,Italy,Sicily,12.817545,38.0718,Panificio di Stabile e Anselmo,9
g187079-d774824,France,Nouvelle-Aquitaine,-0.570778,44.848705,Le K Baroque,9
g3343823-d2477204,United Kingdom,Greater Manchester,-2.356971,53.45801,San Giovanni,9
g189400-d1724517,Greece,Attica,23.729158,37.968147,"Gods' Restaurant",9
g189494-d2361056,Greece,Attica,23.453644,37.500237,Karavolos Taverna,9
g186239-d1737416,United Kingdom,Cornwall,-5.089289,50.417286,Little Italy,9
g187791-d797621,Italy,Lazio,12.564572,41.897533,Scaramouche,9
g186338-d1044445,United Kingdom,London,-0.187879,51.502583,Min Jiang,9
g187855-d866736,Italy,Piedmont,7.646677,45.062798,Ristò Civassa,9
g189106-d1604380,Portugal,Alentejo,-7.909527,38.57529,Luar de Janeiro,9
g187895-d696575,Italy,Tuscany,11.242377,43.778877,Haveli Indian Restaurant,9
g187075-d794843,France,Grand Est,7.749418,48.581768,Gurtlerhoft,9
g186258-d720689,United Kingdom,Devon,-4.137718,50.36828,The Thai House,9
g190733-d1723640,United Kingdom,Lincolnshire,0.342069,53.148563,Steak n Stuff,9
g190800-d2005350,United Kingdom,Dorset,-1.745057,50.741085,"Brown's Fish & Chips",9
g190778-d777633,United Kingdom,Cheshire,-2.372986,53.304348,Rose & Crown,9
g187791-d1095877,Italy,Lazio,12.470639,41.89087,La Renella,9
g1078128-d2439486,Italy,Campania,14.084462,40.794174,La Catagna,9
g1537346-d1491014,Italy,Emilia-Romagna,12.603757,43.976067,Ristorante Pizzeria La Greppia,9
g187791-d1557599,Italy,Lazio,12.493268,41.909954,Ai Fienaroli cucina e pinsa wine bar,9
g1405415-d2270843,Italy,Marche,13.125632,43.036522,Agriturismo Le Casette,9
g1190874-d2354368,Portugal,Algarve,-7.881942,37.152557,"Churrasqueira Paraíso ""Luis dos Frangos""",9
g190727-d1965899,United Kingdom,Dorset,-1.98719,50.71899,Lakeside Fish and Chips Restaurant and Takeaway,9
g274772-d944632,Poland,Southern Poland,19.934772,50.061703,Chimera,9
g1167892-d2090598,United Kingdom,Cheshire,-2.23538,53.26741,Bengal Tiger Lily,9
g187331-d695494,Germany,Hamburg,10.003176,53.5514,Apples Restaurant & Bar,9
g676533-d2241266,Greece,Ionian Islands,20.114233,39.377285,The Rose Tree,9
g194760-d1552349,Italy,Emilia-Romagna,11.61926,44.832443,Il Mandolino,9
g1576917-d1577079,Italy,Lombardy,9.982816,45.783234,Hostaria La Trisa,9
g187147-d719214,France,Ile-de-France,2.346478,48.848557,Le Petit Prince de Paris,9
g186439-d731008,Wales,North Wales,-3.171315,52.970776,Corn Mill,9
g186273-d2063026,United Kingdom,East Sussex,-0.131008,50.819912,Brighton Rocks,9
g186240-d1005915,United Kingdom,Cornwall,-5.532475,50.124245,Garden Bar & Restaurant,9
g580315-d1651468,Spain,Balearic Islands,2.753977,39.6574,Moli des Torrent,9
g1933262-d2456289,Italy,Lazio,12.418899,42.21596,Sala Da Te,9
g664174-d2269423,Italy,Lombardy,9.333456,45.90036,Il Vicolo,9
g186380-d1929276,United Kingdom,Stockton-on-Tees,-1.322192,54.560963,Caruso,9
g186525-d730827,Scotland,Edinburgh,-3.157372,55.936584,Rhubarb - The Restaurant at Prestonfield,9
g187147-d695135,France,Ile-de-France,2.353134,48.86364,Auberge Nicolas Flamel,9
g2275905-d1426303,Italy,Marche,12.772418,43.9638,Dalla Gioconda,9
g194794-d1453989,Italy,Tuscany,10.227909,43.901634,Ristorante Pizzeria La Cantina da Bruno,9
g187780-d1815832,Italy,Campania,14.601826,40.63444,"L'Abside",9
g1646049-d2177007,United Kingdom,Greater London,-0.480356,51.54547,Martins Place,9
g189400-d1076890,Greece,Attica,23.723509,37.975952,Diodos Archaias Agoras,9
g190729-d732069,United Kingdom,Yorkshire,-1.505439,53.66375,Wetherby Whaler,9
g2052788-d2052345,Italy,Liguria,8.245396,44.192333,Pizzeria La Genovese,9
g186346-d1588363,United Kingdom,Yorkshire,-1.079898,53.961777,Goji Vegetarian Cafe and Restaurant,9
g551630-d2145676,United Kingdom,Devon,-3.512578,50.395863,Simply Fish,9
g1916009-d2515882,Italy,Lombardy,9.638861,45.490623,Ristorante La gare,9
g186470-d1951326,Northern Ireland,Belfast,-5.927833,54.59722,The Chubby Cherub,9
g187350-d1736244,Germany,Lower Saxony,9.935254,51.5341,Cron & Lanz,9
g186273-d733772,United Kingdom,East Sussex,-0.132556,50.82053,Sawadee Thai Restaurant,9
g186635-d743326,Ireland,Province of Connacht,-8.474415,54.271408,Bistro Bianconi,9
g187791-d798995,Italy,Lazio,12.437839,41.894814,Le Vele,9
g664916-d1088967,France,Occitanie,3.468519,43.31299,La Ribote,9
g186262-d1187632,United Kingdom,Dorset,-1.886906,50.719727,Pinocchio Bournemouth,9
g1924729-d2277189,Italy,Puglia,18.392048,39.93544,Ristorante Bellavista Tricase Porto,9
g187265-d1733782,France,Auvergne-Rhone-Alpes,4.827222,45.762722,Le Tire-Bouchon,9
g186346-d1906546,United Kingdom,Yorkshire,-1.08464,53.962574,The Hole In The Wall,9
g189414-d1527246,Greece,Crete,25.71718,35.19,Migomis Piano Restaurant,9
g616200-d1104220,Italy,Umbria,12.747454,42.87744,Osteria La Vecchia Posta,9
g189143-d2072526,Portugal,Central Portugal,-8.428611,40.208454,Fangas,9
g1131346-d2365655,Italy,Piedmont,8.445469,45.70274,Da Paniga,9
g504150-d1906518,United Kingdom,Staffordshire,-1.626369,52.806583,Baan Thai,9
g194946-d1454050,Italy,Tuscany,10.241706,43.873543,Antica Locanda da Luca,9
g190441-d1198361,Austria,Austrian Alps,13.049591,47.797905,220 GRAD,9
g187225-d1334671,France,"Provence-Alpes-Cote d'Azur",6.75891,43.424408,Le Merou Ardent,9
g562814-d2089258,Spain,Catalonia,1.148958,41.07202,Hampton Steakhouse & Grill,9
g186600-d1176469,Ireland,Province of Munster,-8.468071,51.90158,"Isaac's Restaurant",9
g274812-d1544113,Poland,Southern Poland,17.033106,51.10995,Bernard Pub- Restaurant,9
g1064195-d1448030,Spain,Canary Islands,-16.577757,28.119843,Tasca Tierras del Sur,9
g1007321-d1491714,Greece,Peloponnese,22.861633,37.526917,Marinero Taverna,9
g187791-d1514579,Italy,Lazio,12.447476,41.86804,Da Settimio,9
g187892-d1524359,Italy,Sicily,15.288831,37.85302,Bam Bar,9
g189541-d806721,Denmark,Zealand,12.561472,55.67139,BENTO Restaurant & Cocktail Bar,9
g315890-d1997093,Ireland,Province of Connacht,-8.608502,54.270626,The Strand Bar,9
g227665-d1785098,Italy,Puglia,17.46079,40.79136,Il Cortiletto,9
g194843-d1799504,Italy,Umbria,12.1082,42.71795,Ristorante Il Cocco,9
g504162-d1516861,United Kingdom,Surrey,-0.694168,51.3608,Bel Vedere Italian Restaurant,9
g1136493-d1227030,Belgium,Brussels,4.361261,50.8209,Le Fruit Defendu,9
g187323-d2560613,Germany,Berlin,13.329077,52.50208,Ristorante Luardi,9
