restaurant_link,restaurant_name,original_location,country,region,province,city,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,original_open_hours_Mon,original_open_hours_Tue,original_open_hours_Wed,original_open_hours_Thu,original_open_hours_Fri,original_open_hours_Sat,original_open_hours_Sun
g187529-d13461838,Pannes,"[""Europe"", ""Spain"", ""Valencian Country"", ""Province of Valencia"", ""Valencia""]",Spain,Valencian Country,Province of Valencia,"",39.46717,-0.332392,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",#7 of 128 Coffee & Tea in Valencia,#419 of 4238 places to eat in Valencia,"Mid-range, Bakeries, Cafe, European","Breakfast, Brunch, Lunch, Drinks","Cafe, European, Contemporary","Vegetarian Friendly, Vegan Options","",Y,Y,N,7.0,53.0,12.0,5,61.0,English,19.0,18.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,"","08:00-14:00, 15:00-18:00","08:00-14:00, 17:00-18:00","08:00-14:00, 15:00-18:00","08:00-14:00, 15:00-18:00","08:00-14:00, 15:00-18:00",09:00-14:00,09:00-14:00
g580283-d2319398,Euforia,"[""Europe"", ""Spain"", ""Balearic Islands"", ""Majorca"", ""Cala Ratjada""]",Spain,Balearic Islands,Majorca,Cala Ratjada,39.708115,3.460863,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificat",#14 of 104 Restaurants in Cala Ratjada,#14 of 120 places to eat in Cala Ratjada,"Mid-range, Mediterranean, European, Spanish","Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks","Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,7.0,112.0,7.0,4.5,1536.0,English,230.0,125.0,68.0,17.0,14.0,6.0,4.5,4.0,4.0,4.5,08:30-00:30,08:30-00:30,08:30-00:30,08:30-00:30,08:30-00:30,08:30-00:30,08:30-00:30
g609044-d1548578,Acqua,"[""Europe"", ""Spain"", ""Valencian Country"", ""Province of Alicante"", ""Costa Blanca"", ""Javea""]",Spain,Valencian Country,Province of Alicante,"",38.77168,0.192813,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificat",#35 of 282 Restaurants in Javea,#35 of 333 places to eat in Javea,"Mid-range, Bar, International, Mediterranean","Breakfast, Lunch, Dinner, Brunch, After-hours","Bar, Mediterranean, Barbecue, European, Spanish, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking, Wine and Beer, Waterfront",Y,Y,Y,7.0,126.0,7.0,4.5,1129.0,English,543.0,301.0,189.0,32.0,15.0,6.0,4.0,4.5,4.0,4.5,09:00-03:00,09:00-03:00,09:00-03:00,09:00-03:00,09:00-03:00,09:00-03:00,09:00-03:00
g187443-d12986549,Filo.,"[""Europe"", ""Spain"", ""Andalucia"", ""Province of Seville"", ""Seville""]",Spain,Andalucia,Province of Seville,"",37.387344,-5.993351,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#48 of 2546 Restaurants in Seville,#54 of 3113 places to eat in Seville,"Cheap Eats, Cafe, European, Spanish","Breakfast, Lunch, Brunch, Drinks","Cafe, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards",Y,Y,Y,7.0,96.5,7.0,4.5,755.0,English,264.0,217.0,37.0,6.0,2.0,2.0,4.5,4.5,4.5,"",07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-22:00,07:30-22:00,07:30-21:00
g1078257-d8027064,Restaurante Sol Zapatilla,"[""Europe"", ""Spain"", ""Andalucia"", ""Province of Cordoba"", ""Montoro""]",Spain,Andalucia,Province of Cordoba,"",38.026783,-4.377774,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 22 Restaurants in Montoro,#1 of 25 places to eat in Montoro,"Mid-range, Mediterranean, Spanish, Healthy","Breakfast, Lunch, Dinner, Brunch","Spanish, Mediterranean, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,6.0,59.0,6.0,4.5,703.0,English,11.0,8.0,3.0,0.0,0.0,0.0,4.5,5.0,4.5,"","",09:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00
g187432-d7233844,El Viajero Del Merkao,"[""Europe"", ""Spain"", ""Andalucia"", ""Costa de la Luz"", ""Cadiz""]",Spain,Andalucia,Costa de la Luz,Cadiz,36.53059,-6.298557,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#22 of 543 Restaurants in Cadiz,#27 of 659 places to eat in Cadiz,"Mid-range, International, Mediterranean, European","Breakfast, Lunch, After-hours, Drinks, Dinner, Brunch","International, Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,7.0,101.5,7.0,4.5,602.0,English,74.0,50.0,16.0,4.0,3.0,1.0,4.5,4.5,4.5,"",08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30
g580306-d4928087,Castaways,"[""Europe"", ""Spain"", ""Balearic Islands"", ""Majorca"", ""Calvia"", ""Palmanova""]",Spain,Balearic Islands,Majorca,Palmanova,39.51899,2.535053,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#15 of 122 Restaurants in Palmanova,#15 of 140 places to eat in Palmanova,"Cheap Eats, Bar, European, Pub","Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks","Bar, European, Pub","Vegetarian Friendly, Vegan Options","",Y,Y,N,7.0,167.88333333333333,7.0,4.5,601.0,English,568.0,361.0,160.0,29.0,9.0,9.0,4.5,4.5,4.5,4.5,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
g672815-d2165659,Flippers,"[""Europe"", ""Spain"", ""Balearic Islands"", ""Ibiza"", ""Cala Llonga""]",Spain,Balearic Islands,Ibiza,Cala Llonga,38.952465,1.518506,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificat",#4 of 27 Restaurants in Cala Llonga,#4 of 27 places to eat in Cala Llonga,"Mid-range, Bar, European, British","Breakfast, Lunch, Dinner, Brunch, After-hours","Bar, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,6.0,131.91666666666669,6.0,4.5,535.0,English,490.0,331.0,110.0,30.0,11.0,8.0,4.5,4.5,4.5,4.0,"",12:00-00:00,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
g580303-d5982490,Eastenders,"[""Europe"", ""Spain"", ""Balearic Islands"", ""Majorca"", ""Calvia"", ""Magaluf""]",Spain,Balearic Islands,Majorca,Magaluf,39.82488,2.481718,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#11 of 81 Restaurants in Magaluf,#12 of 92 places to eat in Magaluf,"Cheap Eats, Bar, British, Pub","Breakfast, Lunch, Dinner, Brunch, Drinks","Bar, British, Pub",Vegetarian Friendly,"",Y,N,N,7.0,133.0,7.0,4.5,508.0,English,497.0,328.0,95.0,41.0,20.0,13.0,4.5,4.5,4.5,4.5,09:00-04:00,09:00-04:00,09:00-04:00,09:00-04:00,09:00-04:00,09:00-04:00,09:00-04:00
g1941042-d7993437,Restaurante La Cabaña del Jerte,"[""Europe"", ""Spain"", ""Extremadura"", ""Province of Caceres"", ""Jerte""]",Spain,Extremadura,Province of Caceres,"",40.222122,-5.752827,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 1 Dessert Spots in Jerte,#1 of 12 places to eat in Jerte,"Mid-range, Dessert, Mediterranean, Barbecue","Lunch, Dinner, Brunch, After-hours, Drinks, Breakfast","Mediterranean, Barbecue, Spanish, Diner","Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,7.0,98.0,7.0,4.5,457.0,English,4.0,0.0,3.0,1.0,0.0,0.0,4.0,4.5,4.0,"",09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00
g196611-d12335232,Apium,"[""Europe"", ""France"", ""Occitanie"", ""Gard"", ""Villeneuve-les-Avignon""]",France,Occitanie,Gard,Villeneuve-les-Avignon,43.963997,4.7975,Claimed,Certificate of Excellence 2019,#21 of 40 Restaurants in Villeneuve-les-Avignon,#21 of 43 places to eat in Villeneuve-les-Avignon,"Mid-range, French, Vegetarian Friendly","Breakfast, Lunch, Dinner",French,Vegetarian Friendly,"",Y,N,N,6.0,51.0,10.0,5,46.0,English,6.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,4.5,"","",08:00-14:30,"08:00-14:30, 19:00-22:00","08:00-14:30, 19:00-22:00","08:00-14:30, 19:00-23:00","08:00-15:00, 19:00-23:00",08:00-12:00
g196706-d6734232,Les Rhodos Restaurant,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Haute-Savoie"", ""La Clusaz""]",France,Auvergne-Rhone-Alpes,Haute-Savoie,La Clusaz,45.872066,6.464949,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#12 of 61 Restaurants in La Clusaz,#13 of 66 places to eat in La Clusaz,"Mid-range, Vegetarian Friendly","Brunch, Breakfast, Lunch, Dinner","",Vegetarian Friendly,"",Y,N,N,7.0,91.0,7.0,4.5,499.0,English,16.0,9.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,4.5,08:30-21:30,08:30-21:30,08:30-21:30,08:30-21:30,08:30-21:30,08:30-21:30,08:30-21:30
g230052-d1852143,"Villa de L'Etang Blanc","[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Landes"", ""Seignosse""]",France,Nouvelle-Aquitaine,Landes,Seignosse,43.70175,-1.361751,Claimed,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Comfortable restaurant",#3 of 48 Restaurants in Seignosse,#3 of 57 places to eat in Seignosse,"Fine Dining, French, European","Breakfast, Lunch, Dinner, After-hours","French, European","","",N,N,N,7.0,154.0,7.0,4.5,367.0,English,14.0,10.0,4.0,0.0,0.0,0.0,4.5,4.5,4.0,4.0,00:00-22:00,00:00-22:00,00:00-22:00,00:00-22:00,00:00-22:00,00:00-22:00,00:00-22:00
g644099-d4763767,La Vallicella,"[""Europe"", ""France"", ""Corsica"", ""Haute-Corse"", ""Poggio-Mezzana""]",France,Corsica,Haute-Corse,Poggio-Mezzana,42.40917,9.537069,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#2 of 4 Restaurants in Poggio-Mezzana,#2 of 4 places to eat in Poggio-Mezzana,"Fine Dining, French, Mediterranean, European","Breakfast, Lunch, Dinner, Drinks","French, Mediterranean, European",Vegetarian Friendly,"",Y,N,N,7.0,105.0,7.0,4.5,335.0,English,11.0,7.0,1.0,1.0,2.0,0.0,4.5,4.5,4.0,4.5,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00
g1943871-d3347122,Le Bellevue,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Moissac-Bellevue""]",France,"Provence-Alpes-Cote d'Azur",Var,Moissac-Bellevue,43.652603,6.166828,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#1 of 2 Restaurants in Moissac-Bellevue,#1 of 2 places to eat in Moissac-Bellevue,"Mid-range, French, Mediterranean, European","Breakfast, Lunch, Dinner, After-hours","French, Mediterranean, European",Vegetarian Friendly,"",Y,N,N,6.0,81.0,6.0,4.5,320.0,English,42.0,25.0,12.0,2.0,2.0,1.0,4.5,4.5,4.5,4.5,09:00-22:30,09:00-22:30,"",09:00-22:30,09:00-22:30,09:00-22:30,09:00-22:30
g6661825-d4793816,Auberge du Col Saint Georges,"[""Europe"", ""France"", ""Corsica"", ""Corse-du-Sud"", ""Grosseto Prugna""]",France,Corsica,Corse-du-Sud,Grosseto Prugna,41.879864,8.933086,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 5 Restaurants in Grosseto Prugna,#1 of 6 places to eat in Grosseto Prugna,"Mid-range, French","Breakfast, Lunch, Dinner, After-hours",French,"","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",N,N,N,7.0,124.25,7.0,4.5,240.0,English,7.0,4.0,2.0,1.0,0.0,0.0,4.5,4.0,4.0,4.0,06:00-23:45,06:00-23:45,06:00-23:45,06:00-23:45,06:00-23:45,06:00-23:45,06:00-23:45
g187147-d3679504,The Smiths Bakery,"[""Europe"", ""France"", ""Ile-de-France"", ""Paris""]",France,Ile-de-France,"",Paris,48.853798,2.337192,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2014",#20 of 351 Bakeries in Paris,#1346 of 18480 places to eat in Paris,"Cheap Eats, Bakeries, French, Cafe","Breakfast, Lunch, Brunch","French, Cafe, European","Vegetarian Friendly, Vegan Options","Takeout, Outdoor Seating, Wheelchair Accessible, Seating",Y,Y,N,7.0,108.5,7.0,4.5,234.0,English,133.0,76.0,45.0,5.0,2.0,5.0,4.5,4.0,4.0,3.5,09:00-00:30,09:00-00:30,09:00-00:30,09:00-00:30,09:00-00:30,09:00-00:30,09:00-00:30
g10456209-d10911042,Le 20140,"[""Europe"", ""France"", ""Corsica"", ""Corse-du-Sud"", ""Serra-di-Ferro"", ""Porto Pollo""]",France,Corsica,Corse-du-Sud,Porto Pollo,41.712185,8.803197,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#2 of 6 Restaurants in Porto Pollo,#2 of 6 places to eat in Porto Pollo,"Cheap Eats, French, Mediterranean, European","Breakfast, Lunch, Dinner, Brunch","French, Mediterranean, European",Vegetarian Friendly,"",Y,N,N,7.0,167.88333333333333,7.0,4.5,233.0,English,6.0,3.0,1.0,1.0,0.0,1.0,4.5,4.0,4.5,"",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
g1087661-d2354881,"Auberge de l'Abbaye","[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Manche"", ""Hambye""]",France,Normandy,Basse-Normandie,Hambye,48.924118,-1.267513,Claimed,"Travellers' Choice, Michelin 2021 for Bib Gourmand: good quality, good value cooking, Michelin 2021 for Comfortable restaurant",#1 of 3 Restaurants in Hambye,#1 of 3 places to eat in Hambye,"Fine Dining, French, European","Breakfast, Lunch, Dinner","French, European","","",N,N,N,6.0,76.0,6.0,4.5,201.0,English,50.0,39.0,8.0,3.0,0.0,0.0,4.5,4.5,4.5,4.5,"",07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,08:00-21:00,08:00-17:00
g677532-d5825760,Camping Les Sirenes/ Le bistrot du col,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Alpes-de-Haute-Provence"", ""Castellane""]",France,"Provence-Alpes-Cote d'Azur",Alpes-de-Haute-Provence,Castellane,43.86597,6.464917,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#5 of 34 Restaurants in Castellane,#5 of 37 places to eat in Castellane,"Mid-range, French, European","Breakfast, Lunch, Dinner, Drinks","French, European","","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Television, Serves Alcohol, Table Service, Free Wifi",N,N,N,7.0,84.0,7.0,4.5,171.0,English,10.0,9.0,1.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00
